,years_experience,degree,nr_commits,nr_languages,nr_stars
3632,0.0,0.0,1828.0,0.0,7.0
3714,0.0,0.0,827.0,0.0,6.0
3590,0.0,0.0,836.0,0.0,9.0
3911,0.0,0.0,823.0,0.0,3.0
3640,0.0,0.0,834.0,0.0,9.0
3803,0.0,0.0,828.0,0.0,5.0
2064,0.0,0.0,0.0,0.0,3.0
2192,0.0,0.0,846.0,0.0,0.0
2391,0.0,0.0,830.0,0.0,6.0
3266,0.0,0.0,826.0,0.0,6.0
2759,0.0,0.0,834.0,0.0,0.0
3257,0.0,0.0,1835.0,0.0,8.0
3647,0.0,0.0,816.0,0.0,7.0
3446,0.0,0.0,826.0,0.0,2.0
3047,0.0,0.0,845.0,0.0,6.0
2928,0.0,0.0,841.0,0.0,0.0
2338,0.0,0.0,849.0,0.0,6.0
