,perc_recomm_found,gamma,eta,gamma_obs,gamma_obs_pre,eta_obs,eta_obs_individualized,costs,lbd,thresh,r_type,t_type,iteration,model_coef,eta_obs_refits_batch0_mean,intv-cost
37,1.0,0.9,0.9,0.07500000298023224,0.06499999761581421,0.985,,"[1.0, 1.0, 1.0, 1.0, 1.0]",300.0,0.5,individualized,counterfactual,3,,0.9430000185966492,2.2430939226519335
38,0.905,0.9,0.9,0.5580110549926758,0.0,0.5303867403314917,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,improvement,3,,0.5558010935783386,1.02
39,1.0,0.9,0.9,0.0949999988079071,0.07999999821186066,0.99,,"[1.0, 1.0, 1.0, 1.0, 1.0]",300.0,0.5,subpopulation,acceptance,3,,0.949999988079071,2.9732620320855614
40,0.935,0.9,0.9,0.903743326663971,0.0,0.7700534759358288,0.9037433155080213,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,improvement,2,,0.8491978645324707,1.01
41,1.0,0.9,0.9,0.05999999865889549,0.054999999701976776,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0]",300.0,0.5,individualized,acceptance,2,,0.9519999623298645,1.01
42,1.0,0.9,0.9,0.06499999761581421,0.04500000178813934,0.97,,"[1.0, 1.0, 1.0, 1.0, 1.0]",300.0,0.5,individualized,counterfactual,2,,0.9539999961853027,2.435233160621762
43,0.965,0.9,0.9,0.6580311059951782,0.0,0.6528497409326425,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,improvement,2,,0.6611398458480835,1.01
44,1.0,0.9,0.9,0.05999999865889549,0.05000000074505806,0.975,,"[1.0, 1.0, 1.0, 1.0, 1.0]",300.0,0.5,subpopulation,acceptance,2,,0.968000054359436,2.857142857142857
45,0.91,0.9,0.9,0.9340659379959106,0.0,0.8571428571428571,0.9340659340659341,"[1.0, 1.0, 1.0]",300.0,0.5,individualized,improvement,5,,0.8999999761581421,1.025
46,1.0,0.9,0.9,0.08500000089406967,0.07999999821186066,1.0,,"[1.0, 1.0, 1.0, 1.0, 1.0]",300.0,0.5,individualized,acceptance,5,,0.9490000009536743,1.015
47,1.0,0.9,0.9,0.0949999988079071,0.08500000089406967,0.975,,"[1.0, 1.0, 1.0, 1.0, 1.0]",300.0,0.5,individualized,counterfactual,5,,0.9529999494552612,2.446236559139785
48,0.93,0.9,0.9,0.6505376100540161,0.0,0.6344086021505376,,"[1.0, 1.0, 1.0]",300.0,0.5,subpopulation,improvement,5,,0.6494623422622681,1.005
49,1.0,0.9,0.9,0.06499999761581421,0.054999999701976776,0.98,,"[1.0, 1.0, 1.0, 1.0, 1.0]",300.0,0.5,subpopulation,acceptance,5,,0.9670000076293945,
